,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,frame,pos,strain,condition,colony_id,min_dist_PA_centroid,min_dist_PA_edge2edge
0,1,806,86.42183622828784,519.0508684863523,38.87205292569784,28.699184745437414,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,0,56.571573887673345,29.68164415931166
1,2,695,87.13093525179856,616.7597122302159,40.8295215386374,22.558881488741694,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,1,86.51595085550473,72.00694410957877
2,3,1039,134.31761308950914,20.16939364773821,65.00342422229663,30.226486554023257,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,2,89.00959770102574,61.09828148156051
3,4,1469,180.1504424778761,548.8883594281824,46.773184915419364,42.00663263685042,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,3,43.90608330053639,14.0
4,5,839,181.83432657926102,126.05482717520859,37.32280400454247,29.138589444511055,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,4,154.49737820077698,132.23085872821065
5,6,669,190.10463378176382,363.3408071748879,33.31286989371158,26.906987037724644,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,5,162.2739196545578,142.3411395205195
6,7,208,186.85576923076923,1626.5817307692307,20.50148627540419,14.229550618177365,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,6,118.01277405397505,100.60318086422517
7,8,465,206.4021505376344,907.8,30.026998227536048,19.97232365171122,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,7,190.02520998460184,170.06469357276953
8,9,517,229.6266924564797,1054.348162475822,31.031678387078248,21.706303202421424,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,8,214.26878957478903,190.4205871222962
9,10,974,277.5297741273101,222.38809034907598,45.78940162279079,28.52404719178115,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,9,48.21951806863982,21.400934559032695
10,11,855,285.4046783625731,1405.0947368421052,37.18184733287938,29.506509686347275,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,10,148.02852863249024,115.52488909321661
11,12,652,290.2960122699387,314.82515337423314,30.501500303857465,27.488991726204503,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,11,62.53144041133028,43.41658669218482
12,13,610,296.072131147541,1195.5983606557377,36.963987845494,22.023444698741763,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,12,179.6551267773313,149.85659811966906
13,14,577,301.4436741767764,495.35008665511265,32.26344837892374,23.516304386855804,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,13,85.471143175317,64.40496875241847
14,15,409,316.8288508557457,1831.119804400978,34.06297563171111,16.186360128635062,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,14,95.4440222626696,66.49060083951716
15,16,147,313.40816326530614,1776.578231292517,15.875897275273804,12.483263327627071,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,15,43.87920217366133,22.80350850198276
16,17,494,323.1862348178138,1500.0708502024293,31.792689458655055,20.764112090387083,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,16,143.69280073931185,125.01599897613104
17,18,530,409.6132075471698,534.0981132075472,30.900270084650337,22.102315432992718,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,17,187.76482865993378,166.0
18,19,434,414.147465437788,633.942396313364,27.290182173947887,20.989941590339154,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,18,136.87019202669308,118.06777714516353
19,20,436,415.2110091743119,1220.073394495413,28.24432601271036,20.133290102886864,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,19,182.41535355492857,160.0781059358212
20,21,1396,481.7163323782235,247.4240687679083,53.5627588873953,34.87530985634675,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,20,169.99477778719057,143.17122615944868
21,22,414,492.1135265700483,529.5458937198067,25.653903751612678,21.17638407330554,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,21,145.85376193516126,124.77579893553076
22,23,298,494.70805369127515,1819.020134228188,33.48624182949632,14.66354392337322,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,22,219.7470934984086,194.64069461446135
23,24,1236,515.0768608414239,2017.9304207119742,41.23364603265667,38.61488830262726,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,23,267.16939736504526,239.92082027202224
24,25,770,536.7506493506494,993.8298701298701,45.061588085434494,23.18565464448174,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,24,329.56467091858457,304.0
25,26,398,528.0854271356784,1576.3442211055276,27.041023149166467,19.281481186150017,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,25,90.32955775446887,75.0066663703967
26,27,1312,570.5693597560976,390.7484756097561,49.18188105740165,35.198111163494644,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,26,209.5490147146029,186.03494295427404
27,28,939,609.503727369542,1143.2609158679447,43.65722447441801,28.42794265829699,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,27,309.4996721249052,279.0788419067271
28,29,361,644.4072022160665,1914.3545706371192,31.71625577243981,15.753877591756499,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,28,156.43273651884437,137.55726080436466
29,30,474,661.246835443038,147.331223628692,27.227869098126792,22.48856909487797,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,29,235.55544548235673,217.18655575334307
30,31,233,697.9527896995709,2008.862660944206,21.572539362943598,14.26919691457295,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,30,84.85299997158447,69.26037828369117
31,32,956,726.1694560669456,1444.7259414225941,45.42086310688637,27.969864281558955,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,31,194.6035591207289,167.0
32,33,367,744.2288828337875,1497.9019073569482,25.841896621185835,18.146839090119826,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,32,142.87855613599845,126.58988901172162
33,34,455,797.3032967032967,1699.5582417582418,29.920174570740212,20.549482562791376,0,1,SA1,JE2RFP_gltTGFP_PAO1_TSB,33,95.02121637451471,77.33692520394123
