,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,frame,pos,strain,condition,colony_id,min_dist_PA_centroid
55,56,486,1510.1522633744855,1099.6687242798355,29.252332073817424,21.794809717184208,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,55,246.83155497187815
56,57,1453,1559.2346868547831,457.82450103234686,64.56598004979564,30.38947497168601,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,56,99.37322628808452
57,58,544,1588.283088235294,870.7150735294117,31.78620162068008,22.47803630659838,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,57,86.16214942396185
58,59,1482,1631.5883940620784,1132.7570850202428,63.87256904198198,35.344579217926494,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,58,150.62063454188177
59,60,1789,1633.6249301285634,587.0229178311906,60.186641691228665,42.20593963070936,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,59,194.25414208534625
60,61,816,1700.7450980392157,1252.1421568627452,35.590277670999235,30.46773577835369,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,60,168.62344386483784
61,62,738,1706.1626016260163,1003.738482384824,37.62780290124464,26.199510579928308,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,61,55.71241128738007
62,63,467,1733.8179871520342,1742.4860813704497,28.70436463548472,21.475686094942237,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,62,89.92007660775641
63,64,677,1795.615952732644,1422.8626292466763,36.09124563512604,25.264118620432047,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,63,89.47664128531532
64,65,811,1845.933415536375,867.842170160296,36.167999296966265,30.56997654894827,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,64,154.67703794786652
65,66,670,1870.3492537313432,828.855223880597,35.060697502446146,25.346450786974103,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,65,192.32904439268543
66,67,812,1942.5147783251232,1336.3633004926107,42.56472950277969,26.19367877127041,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,66,101.94783149258704
67,68,621,1985.6988727858293,293.8550724637681,36.20966010535792,22.730257189550816,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,67,77.23019718538843
68,69,367,1986.7356948228885,1774.7302452316076,25.959541474826707,18.817495523702664,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,68,103.10135662615048
69,70,702,2012.3803418803416,765.1310541310542,33.759634640461684,27.21591912561016,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,69,112.85773444909096
70,71,362,2011.03591160221,1935.46408839779,39.912648624873626,12.607985985610156,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,70,38.9166924475816
71,72,677,2029.3456425406205,135.95420974889217,41.75982761173265,21.34205750997666,0,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,71,157.48476763320636
72,1,856,80.39953271028037,1267.2698598130842,35.7606933031004,31.9318104573576,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,0,180.5161923518818
73,2,786,89.71882951653944,1375.403307888041,43.83555008562114,24.471867288627507,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,1,224.3078866128929
74,3,807,103.17348203221808,1552.4485749690211,36.00935702849241,29.47213210374529,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,2,105.43788112632473
75,4,249,171.91164658634537,1581.0361445783133,23.85661225144816,13.555233684223936,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,3,88.29544143968043
76,5,1299,224.3448806774442,1097.303310238645,60.12526159782281,29.216792968383675,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,4,131.17492618072274
77,6,395,233.18987341772151,1697.2860759493672,26.50049649753109,19.817891309934797,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,5,138.73544799467228
78,7,331,271.08761329305133,2003.9818731117823,24.864470569951497,17.704484167089102,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,6,107.20290868642668
79,8,443,296.0428893905192,1356.1128668171557,27.309993386103617,21.65705594077799,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,7,137.48282080639558
80,9,495,312.73939393939395,736.4646464646464,29.680410877902656,21.899192785725525,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,8,166.53978182314594
81,10,688,329.84156976744185,1785.7165697674418,37.26148315963851,28.641928420725858,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,9,184.45172137770643
82,11,866,386.4099307159353,1642.2101616628177,36.6734344970902,31.38800008759203,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,10,145.06419810334407
83,12,330,402.0939393939394,849.3454545454546,23.701090628843723,18.996374212321133,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,11,74.60984288889482
84,13,735,427.2829931972789,1182.0585034013604,38.52455250559174,25.612874265113824,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,12,176.68114338567963
85,14,561,486.6702317290553,728.3475935828877,30.525812118596107,23.99589439237099,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,13,208.58532157397272
86,15,822,504.28345498783455,1672.351581508516,39.14010494778528,27.76843029526849,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,15,168.52503957760072
87,16,679,499.25773195876286,672.220913107511,34.65607530947147,26.02614479723125,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,14,157.93789359247427
88,17,901,545.5271920088791,1433.3063263041065,37.629870191846976,31.763033872943627,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,16,83.98002762268013
89,18,704,606.2329545454545,774.1548295454545,34.825222943859,26.152041593410875,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,17,146.73967156424703
90,19,1180,652.6237288135593,1860.7533898305085,47.14780570317538,33.44576136715206,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,18,54.92972069540697
91,20,63,655.7460317460317,2040.7142857142856,22.13301347126183,4.448774465803332,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,19,96.61520593036656
92,21,894,688.0302013422819,257.6040268456376,36.15722899122182,32.01009252255531,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,20,121.93901615732752
93,22,1214,713.2619439868205,1191.011532125206,52.68712231727104,31.357771740254336,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,21,118.155021001162
94,23,538,741.8122676579926,733.3085501858736,29.97191526623626,23.82523365148745,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,22,135.45441173505347
95,24,739,756.5493910690121,450.07713125845737,40.066899643121765,25.08686930630254,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,23,95.82067385608968
96,25,936,778.5309829059829,808.3151709401709,38.11327068324082,32.85106875967597,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,24,82.94894915165182
97,26,614,804.3517915309446,625.3648208469056,35.5565406732451,23.42193331532805,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,25,87.67761463014332
98,27,331,818.8912386706949,2018.2900302114804,25.490960154466052,17.128948628767247,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,26,173.54315664459378
99,28,904,833.2212389380531,507.6471238938053,48.92107761258328,24.416129178568543,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,27,49.847761766901726
100,29,1153,864.1032090199479,1215.441457068517,51.35903240252967,33.17992517753675,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,28,97.6157398999074
101,30,2121,904.4497878359264,571.7628477133428,67.73306980156102,48.19655814969812,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,29,102.38710550241709
102,31,2043,922.7327459618208,1154.6314243759175,80.6082347801835,38.0122933829118,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,30,39.90107468968098
103,32,529,922.8223062381852,74.29867674858222,29.097948520469767,23.959889374165236,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,31,53.46022613469472
104,33,608,941.9292763157896,210.0065789473684,32.728587357376185,24.00319946340056,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,32,120.03807461387603
105,34,922,1001.905639913232,1959.7440347071583,45.63467857647532,27.287794947592964,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,33,115.05551058180208
106,35,875,1007.5474285714286,654.4971428571429,45.98048942422021,25.13539704226767,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,34,101.29385284970326
107,36,452,1047.654867256637,1625.2920353982302,37.39737666406725,16.712227303951476,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,35,77.93946113435442
108,37,858,1062.8193473193471,289.24242424242425,42.021408667798525,26.56587525588774,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,36,88.35050795259933
109,38,525,1058.078095238095,854.0171428571429,30.56507695447712,22.458712938783133,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,37,174.73516883205227
110,39,1120,1074.275892857143,1880.1410714285716,53.78853237946705,28.955390500818005,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,38,127.95972097918552
111,40,682,1110.1730205278593,393.9736070381232,39.4257839641391,22.777841111917283,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,39,50.50282734808368
112,41,486,1138.4444444444443,934.7201646090537,37.49089900895927,17.531469004900043,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,40,141.73791997074008
113,42,892,1161.4540358744396,792.6614349775784,43.43468814676248,27.633239340132,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,41,142.04592216816224
114,43,629,1193.2384737678856,453.79650238473766,34.1622894413407,24.44632969419309,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,42,124.16219882890236
115,44,880,1198.1806818181817,498.2977272727273,38.71551311104645,30.89491411384905,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,43,158.52125568121534
116,45,1107,1247.163504968383,1686.8455284552845,63.16032138926919,23.43983542238802,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,44,72.23820135528041
117,46,908,1270.5616740088103,1307.0,35.991178791940754,33.46523879869819,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,45,55.7953977762758
118,47,774,1277.546511627907,520.1124031007752,37.08750540728644,27.41886923148536,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,46,155.7694769816864
119,48,826,1288.818401937046,1143.6198547215497,38.430909004506,28.306396005899416,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,47,79.56987763419274
120,49,858,1318.258741258741,26.565268065268064,44.743522320612456,26.379011694339727,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,48,148.14452177356608
121,50,1054,1333.5597722960151,588.8074003795066,55.832399660075424,25.15993366465807,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,49,147.39745086772842
122,51,658,1332.6717325227964,962.306990881459,33.64504438760568,25.7157877091566,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,50,44.00615843895045
123,52,602,1353.626245847176,2029.639534883721,33.33240966719278,25.69974632308615,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,51,248.64953613941347
124,53,687,1363.8515283842794,493.3333333333333,41.63588832551536,24.072350821486896,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,52,195.21331340241088
125,54,1053,1484.306742640076,1010.7179487179488,42.80955718392242,32.87764557454476,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,53,173.6503258367982
126,55,1038,1509.2341040462427,2026.4633911368016,40.83855280494495,34.266666887732406,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,54,93.03896235958562
127,56,506,1510.3833992094862,1100.3162055335968,29.746143266086506,22.293892393253557,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,55,246.6888331523584
128,57,1514,1559.626816380449,458.492073976222,65.7321525418852,30.949537691140684,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,56,99.57560786809378
129,58,580,1588.701724137931,871.4206896551724,32.53688708442085,23.320686677958477,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,57,85.97515271769181
130,59,1539,1631.8589993502274,1133.2345679012346,65.16951521246604,35.949873494718936,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,58,150.26960474672276
131,60,1839,1634.0570962479608,587.5073409461664,60.0308837027565,43.18555965661759,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,59,194.09460099194263
132,61,842,1700.933491686461,1252.6092636579572,36.359538936135785,30.844218961926853,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,60,195.95571387491307
133,62,780,1706.3423076923077,1004.451282051282,35.6363702019952,28.40030592355528,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,61,55.79045363189521
134,63,483,1733.9792960662526,1743.1573498964804,29.22104458449402,21.878376743069307,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,62,89.81679112403526
135,64,719,1796.0917941585535,1423.3310152990264,37.4856980228243,25.67800767405112,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,63,104.98386065650811
136,65,843,1846.4128113879003,868.2538552787663,36.87080449809274,31.09078026616009,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,64,154.63104820329673
137,66,711,1871.127988748242,829.4866385372715,37.9123614110165,25.30838754534046,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,65,192.46606994316068
138,67,848,1942.8455188679245,1337.0094339622642,43.73846645388197,26.51623026293484,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,66,208.1440169018388
139,68,640,1985.9359375,294.0046875,36.79020385717261,23.23499267317899,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,67,77.32209979622591
140,69,405,1987.1185185185184,1774.9283950617285,25.2383180499936,21.04421039406417,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,68,103.76965540817338
141,70,724,2012.364640883978,765.3770718232045,33.58292720377545,28.09071963626541,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,69,112.19917239026138
142,71,388,2011.0438144329896,1936.291237113402,40.468809589685165,13.259542423220209,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,70,38.93136473042704
143,72,615,2028.4032520325204,137.130081300813,41.01742745433707,19.81456057222418,1,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,71,156.08158485192763
144,1,883,80.23103057757645,1266.5503963759909,36.76428479466082,32.06992777113965,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,0,180.76779559829168
145,2,825,89.46303030303031,1374.7939393939394,44.60165333795416,25.203915100975827,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,1,224.67296709371377
146,3,838,103.05847255369927,1552.1157517899762,37.121980435423545,29.524468861590403,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,2,104.88769211045648
147,4,265,171.70188679245285,1580.445283018868,24.43734553545997,14.089842254279793,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,3,88.15888522434129
148,5,1360,223.8808823529412,1097.1933823529412,61.98330729146751,29.99387405010077,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,4,130.64541686097613
149,6,422,232.9478672985782,1696.6137440758291,27.081556158332287,20.75283257141256,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,5,138.48478494253953
150,7,376,270.9175531914894,2002.664893617021,27.040591304981643,18.38497496950507,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,6,106.5648247668135
151,8,462,295.93722943722946,1355.435064935065,28.014078467553155,21.99721430342881,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,7,137.53787051509383
152,9,516,312.5058139534884,735.8023255813954,30.30782783830743,22.42998889259008,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,8,166.76376702599018
153,10,741,329.4278002699056,1785.449392712551,38.62421354730487,29.900913679391238,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,9,183.9907501443897
154,11,901,386.2108768035516,1641.586015538291,37.437284187724,31.923804651454017,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,10,145.06941424348267
155,12,332,401.7620481927711,848.7590361445783,23.545984506035097,19.24959324478093,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,11,74.51616049137559
156,13,757,426.9867899603699,1181.3685601056802,39.39765623422887,25.790844517011337,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,12,176.29843440423517
157,14,591,486.48223350253807,727.7648054145516,31.13690653194645,24.740252519283946,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,13,208.4612599802959
158,15,874,503.74256292906176,1671.854691075515,40.08552958204065,28.83979533607575,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,15,168.81583502096606
159,16,696,499.0890804597701,671.5014367816092,34.94921973557916,26.317027969205903,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,14,158.63271271207054
160,17,944,545.167372881356,1432.833686440678,38.50825241420868,32.310516501792584,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,16,83.93737313960443
161,18,719,606.0250347705146,773.5299026425591,35.2786831426292,26.36814205724345,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,17,146.57322315742258
162,19,1364,654.3804985337243,1859.524193548387,54.74668565437756,32.67012011850505,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,18,57.421477654805706
163,20,105,653.0952380952381,2040.0285714285717,26.16728896130624,5.82200608514024,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,19,94.60945843689473
164,21,929,687.8417653390743,256.92034445640473,36.8070269438325,32.706215046416354,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,20,121.87990621747495
165,22,1298,713.4946070878274,1190.46687211094,52.60555660867948,32.93897952720004,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,21,118.1366547351026
166,23,564,741.613475177305,732.781914893617,30.851579230913348,24.176807477949517,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,22,135.28904309576058
167,24,781,756.2586427656851,449.6722151088349,42.79238087361367,24.923332900401693,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,23,95.67542380497228
168,25,954,778.3186582809225,807.9675052410902,38.16317971139452,33.111610765449846,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,24,82.78221117610617
169,26,639,804.2989045383412,624.6697965571205,35.679674763947226,24.39078489151563,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,25,87.61624468884169
170,27,363,818.5234159779615,2017.7217630853995,27.06656265537348,17.748302607643964,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,26,173.6505211519984
171,28,930,833.1344086021505,507.0301075268817,49.853585446785445,24.65439199366131,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,27,49.89769513416641
172,29,1228,863.0936482084691,1213.957654723127,53.28352511542661,34.21725763448268,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,28,96.34686516827614
173,30,2158,904.3563484708064,570.9694161260427,67.73164063584314,48.77667532708053,2,0,SA1,JE2RFP_gltTGFP_PAO1_TSB,29,102.32742241892852
